annotation	chrom	chromEnd	chromStart	createdBy	lastModifiedBy	lastModified	track	dupe
peakStart	chr1	52082999.0	52079899.0				aorta_ENCFF115HTK	
peakEnd	chr1	52086099.0	52083299.0				aorta_ENCFF115HTK	
noPeak	chr1	52122799.0	52087199.0				aorta_ENCFF115HTK	
noPeak	chr1	52188399.0	52132599.0				aorta_ENCFF115HTK	
peakStart	chr1	52195399.0	52192499.0				aorta_ENCFF115HTK	
peakEnd	chr1	52198699.0	52195599.0				aorta_ENCFF115HTK	
noPeak	chr1	52256299.0	52210399.0				aorta_ENCFF115HTK	
noPeak	chr1	52330699.0	52261999.0				aorta_ENCFF115HTK	
peakStart	chr1	52343999.0	52338999.0				aorta_ENCFF115HTK	
peakEnd	chr1	52347899.0	52344199.0				aorta_ENCFF115HTK	
noPeak	chr1	52405399.0	52351299.0				aorta_ENCFF115HTK	
noPeak	chr1	52450099.0	52407399.0				aorta_ENCFF115HTK	
noPeak	chr1	52491599.0	52460699.0				aorta_ENCFF115HTK	
peakStart	chr1	52498899.0	52495299.0				aorta_ENCFF115HTK	
peakEnd	chr1	52501699.0	52499199.0				aorta_ENCFF115HTK	
noPeak	chr1	52516899.0	52502999.0				aorta_ENCFF115HTK	
peakStart	chr1	52521099.0	52517499.0				aorta_ENCFF115HTK	
peakEnd	chr1	52525799.0	52521499.0				aorta_ENCFF115HTK	
noPeak	chr1	52560499.0	52526799.0				aorta_ENCFF115HTK	
noPeak	chr1	52597399.0	52562199.0				aorta_ENCFF115HTK	
peakStart	chr1	52608099.0	52601899.0				aorta_ENCFF115HTK	
peakEnd	chr1	52611979.0	52608239.0				aorta_ENCFF115HTK	
noPeak	chr1	52659599.0	52614899.0				aorta_ENCFF115HTK	
noPeak	chr1	52863999.0	52846399.0				aorta_ENCFF115HTK	
peakStart	chr1	52870199.0	52867149.0				aorta_ENCFF115HTK	
peakEnd	chr1	52873499.0	52870449.0				aorta_ENCFF115HTK	
peakStart	chr1	57043599.0	57036599.0	Public	Public	1629233269.0441787	aorta_ENCFF115HTK	
peakEnd	chr1	57047399.0	57044599.0	Public	Public	1629233283.5222929	aorta_ENCFF115HTK	
noPeak	chr1	58969999.0	57143999.0	Public	Public	1629233224.1827064	aorta_ENCFF115HTK	
peakStart	chr1	70671299.0	70669599.0	Public	Public	1629131596.0899134	aorta_ENCFF115HTK	
peakEnd	chr1	70673099.0	70671559.0	Public	Public	1629131835.594411	aorta_ENCFF115HTK	
peakStart	chr1	70687339.0	70685399.0	Public	Public	1629131898.199482	aorta_ENCFF115HTK	
peakEnd	chr1	70689819.0	70687459.0	Public	Public	1629131859.014408	aorta_ENCFF115HTK	
peakStart	chr1	85666699.0	85661299.0				aorta_ENCFF115HTK	
peakEnd	chr1	85671599.0	85666999.0				aorta_ENCFF115HTK	
peakEnd	chr1	150162379.0	150159299.0				aorta_ENCFF115HTK	
noPeak	chr1	151640999.0	151609499.0				aorta_ENCFF115HTK	
peakStart	chr1	184942799.0	184937299.0				aorta_ENCFF115HTK	
peakEnd	chr1	184946699.0	184943379.0				aorta_ENCFF115HTK	
noPeak	chr1	184984779.0	184948219.0				aorta_ENCFF115HTK	
noPeak	chr1	185011679.0	184986659.0				aorta_ENCFF115HTK	
peakStart	chr1	185014819.0	185012839.0				aorta_ENCFF115HTK	
peakEnd	chr1	185017599.0	185015359.0				aorta_ENCFF115HTK	
noPeak	chr1	185034819.0	185019239.0				aorta_ENCFF115HTK	
noPeak	chr1	185078979.0	185037299.0				aorta_ENCFF115HTK	
noPeak	chr1	185121299.0	185081719.0				aorta_ENCFF115HTK	
peakStart	chr1	185125819.0	185122419.0				aorta_ENCFF115HTK	
peakEnd	chr1	185129599.0	185126619.0				aorta_ENCFF115HTK	
noPeak	chr1	185167779.0	185132959.0				aorta_ENCFF115HTK	
noPeak	chr1	185215979.0	185171419.0				aorta_ENCFF115HTK	
noPeak	chr1	185273899.0	185219299.0				aorta_ENCFF115HTK	
peakStart	chr1	185285599.0	185280199.0				aorta_ENCFF115HTK	
peakEnd	chr1	185291199.0	185286499.0				aorta_ENCFF115HTK	
noPeak	chr1	185360899.0	185300099.0				aorta_ENCFF115HTK	
noPeak	chr1	185573799.0	185390599.0				aorta_ENCFF115HTK	
peakStart	chr1	201709049.0	201705999.0				aorta_ENCFF115HTK	
peakEnd	chr1	201715099.0	201709299.0				aorta_ENCFF115HTK	
noPeak	chr1	201742349.0	201720449.0				aorta_ENCFF115HTK	
peakStart	chr1	201798449.0	201795399.0				aorta_ENCFF115HTK	
peakEnd	chr1	201801449.0	201798699.0				aorta_ENCFF115HTK	
noPeak	chr1	201827199.0	201803499.0				aorta_ENCFF115HTK	
noPeak	chr1	201854449.0	201829599.0				aorta_ENCFF115HTK	
peakStart	chr1	201858099.0	201855499.0				aorta_ENCFF115HTK	
peakEnd	chr1	201860649.0	201858249.0				aorta_ENCFF115HTK	
noPeak	chr1	201881149.0	201862449.0				aorta_ENCFF115HTK	
noPeak	chr1	201906999.0	201886499.0				aorta_ENCFF115HTK	
peakEnd	chr1	201918799.0	201915349.0				aorta_ENCFF115HTK	
peakEnd	chr1	201927299.0	201924899.0				aorta_ENCFF115HTK	
noPeak	chr1	201945599.0	201929949.0				aorta_ENCFF115HTK	
peakStart	chr1	201952149.0	201949699.0				aorta_ENCFF115HTK	
noPeak	chr1	201965649.0	201959899.0				aorta_ENCFF115HTK	
noPeak	chr1	202000499.0	201996049.0				aorta_ENCFF115HTK	
noPeak	chr1	202028549.0	202010999.0				aorta_ENCFF115HTK	
noPeak	chr1	202083999.0	202052149.0				aorta_ENCFF115HTK	
peakStart	chr1	220701499.0	220696299.0				aorta_ENCFF115HTK	
peakEnd	chr1	220707799.0	220702399.0				aorta_ENCFF115HTK	
noPeak	chr1	220757399.0	220715899.0				aorta_ENCFF115HTK	
noPeak	chr1	241317265.0	237967538.0				aorta_ENCFF115HTK	
noPeak	chr2	131846879.0	131835159.0				aorta_ENCFF115HTK	
peakStart	chr2	131850799.0	131848239.0				aorta_ENCFF115HTK	
peakEnd	chr2	131853039.0	131851159.0				aorta_ENCFF115HTK	
noPeak	chr2	131859799.0	131853999.0				aorta_ENCFF115HTK	
peakStart	chr2	131863279.0	131860639.0				aorta_ENCFF115HTK	
peakEnd	chr2	131866319.0	131863519.0				aorta_ENCFF115HTK	
noPeak	chr2	131879919.0	131866679.0				aorta_ENCFF115HTK	
noPeak	chr2	131907919.0	131882999.0				aorta_ENCFF115HTK	
noPeak	chr2	131935719.0	131909839.0				aorta_ENCFF115HTK	
noPeak	chr2	131962959.0	131937279.0				aorta_ENCFF115HTK	
noPeak	chr2	131993879.0	131963999.0				aorta_ENCFF115HTK	
noPeak	chr2	132037079.0	132004919.0				aorta_ENCFF115HTK	
noPeak	chr2	132079199.0	132045799.0				aorta_ENCFF115HTK	
noPeak	chr2	132110559.0	132081879.0				aorta_ENCFF115HTK	
noPeak	chr2	132153319.0	132124279.0				aorta_ENCFF115HTK	
noPeak	chr2	132188039.0	132156679.0				aorta_ENCFF115HTK	
noPeak	chr2	132218879.0	132190239.0				aorta_ENCFF115HTK	
noPeak	chr2	132242319.0	132220199.0				aorta_ENCFF115HTK	
peakStart	chr2	132250519.0	132244399.0				aorta_ENCFF115HTK	
peakEnd	chr2	132255319.0	132250799.0				aorta_ENCFF115HTK	
noPeak	chr2	132274359.0	132255839.0				aorta_ENCFF115HTK	
noPeak	chr2	132307399.0	132289679.0				aorta_ENCFF115HTK	
noPeak	chr2	132341399.0	132309479.0				aorta_ENCFF115HTK	
noPeak	chr2	132384359.0	132349639.0				aorta_ENCFF115HTK	
noPeak	chr2	132418359.0	132387079.0				aorta_ENCFF115HTK	
noPeak	chr2	132438279.0	132433879.0				aorta_ENCFF115HTK	
peakStart	chr2	132439879.0	132438559.0				aorta_ENCFF115HTK	
peakEnd	chr2	132443999.0	132439999.0				aorta_ENCFF115HTK	
noPeak	chr2	132462559.0	132444719.0				aorta_ENCFF115HTK	
noPeak	chr2	132498439.0	132463799.0				aorta_ENCFF115HTK	
noPeak	chr2	136731249.0	136644758.0				aorta_ENCFF115HTK	
peakStart	chr2	136742590.0	136740445.0				aorta_ENCFF115HTK	
peakEnd	chr2	136745617.0	136743237.0				aorta_ENCFF115HTK	
noPeak	chr2	136866717.0	136752091.0				aorta_ENCFF115HTK	
noPeak	chr2	137509669.0	137269995.0				aorta_ENCFF115HTK	
peakStart	chr2	137522987.0	137518655.0				aorta_ENCFF115HTK	
peakEnd	chr2	137529919.0	137523681.0				aorta_ENCFF115HTK	
noPeak	chr2	137596344.0	137536290.0				aorta_ENCFF115HTK	
peakStart	chr3	110790499.0	110785399.0				aorta_ENCFF115HTK	
peakEnd	chr3	110796699.0	110791199.0				aorta_ENCFF115HTK	
noPeak	chr3	110840699.0	110798099.0				aorta_ENCFF115HTK	
noPeak	chr3	111331999.0	110841999.0				aorta_ENCFF115HTK	
peakStart	chr3	111393499.0	111390699.0				aorta_ENCFF115HTK	
peakEnd	chr3	111399299.0	111393699.0				aorta_ENCFF115HTK	
noPeak	chr3	111570799.0	111405599.0				aorta_ENCFF115HTK	
peakStart	chr3	111578899.0	111572399.0				aorta_ENCFF115HTK	
peakEnd	chr3	111586199.0	111579299.0				aorta_ENCFF115HTK	
noPeak	chr3	111626739.0	111597708.0				aorta_ENCFF115HTK	
noPeak	chr3	111693505.0	111669016.0				aorta_ENCFF115HTK	
peakStart	chr3	111698079.0	111696299.0				aorta_ENCFF115HTK	
peakEnd	chr3	111699829.0	111698169.0				aorta_ENCFF115HTK	
noPeak	chr3	111716018.0	111701107.0				aorta_ENCFF115HTK	
noPeak	chr3	135676315.0	135570123.0				aorta_ENCFF115HTK	
peakStart	chr3	135684903.0	135680911.0				aorta_ENCFF115HTK	
peakEnd	chr3	135687284.0	135685364.0				aorta_ENCFF115HTK	
noPeak	chr3	135774281.0	135692812.0				aorta_ENCFF115HTK	
noPeak	chr3	135904086.0	135860494.0				aorta_ENCFF115HTK	
peakStart	chr3	135914420.0	135905910.0				aorta_ENCFF115HTK	
peakEnd	chr3	135920945.0	135915051.0				aorta_ENCFF115HTK	
noPeak	chr3	135944711.0	135920950.0				aorta_ENCFF115HTK	
noPeak	chr3	135966053.0	135944980.0				aorta_ENCFF115HTK	
peakStart	chr3	135969358.0	135967636.0				aorta_ENCFF115HTK	
peakEnd	chr3	135972481.0	135969601.0				aorta_ENCFF115HTK	
noPeak	chr3	136022390.0	135972500.0				aorta_ENCFF115HTK	
noPeak	chr3	136436245.0	136417930.0	Public	Public	1632250453.9139109	aorta_ENCFF115HTK	
peakStart	chr3	136470903.0	136464797.0	Public	Public	1632250285.5257857	aorta_ENCFF115HTK	
peakEnd	chr3	136476023.0	136471493.0	Public	Public	1632250293.6187193	aorta_ENCFF115HTK	
noPeak	chr3	136499456.0	136489609.0	Public	Public	1632250457.0656528	aorta_ENCFF115HTK	
noPeak	chr3	136567787.0	136546322.0	Public	Public	1632250460.9965253	aorta_ENCFF115HTK	
noPeak	chr3	137890299.0	137884699.0	Public	Public	1632252115.3969643	aorta_ENCFF115HTK	
peakStart	chr3	137893349.0	137891399.0	Public	Public	1632250507.3643894	aorta_ENCFF115HTK	
peakEnd	chr3	137894999.0	137893549.0	Public	Public	1632250514.565246	aorta_ENCFF115HTK	
noPeak	chr3	137902899.0	137897549.0	Public	Public	1632252111.3969688	aorta_ENCFF115HTK	
peakStart	chr3	137906449.0	137904299.0	Public	Public	1632250510.6016855	aorta_ENCFF115HTK	
peakEnd	chr3	137909449.0	137906949.0	Public	Public	1632250517.251843	aorta_ENCFF115HTK	
noPeak	chr3	137920549.0	137915099.0	Public	Public	1632250523.3297822	aorta_ENCFF115HTK	
peakStart	chr3	138048449.0	138046299.0	Public	Public	1632252128.491478	aorta_ENCFF115HTK	
peakEnd	chr3	138051049.0	138048649.0	Public	Public	1632252144.4705467	aorta_ENCFF115HTK	
peakStart	chr3	138067149.0	138065149.0	Public	Public	1632252134.4942648	aorta_ENCFF115HTK	
peakEnd	chr3	138071099.0	138067699.0	Public	Public	1632252140.1820755	aorta_ENCFF115HTK	
peakStart	chr3	155462583.0	155460300.0				aorta_ENCFF115HTK	
noPeak	chr4	40051829.0	39999334.0				aorta_ENCFF115HTK	
peakStart	chr4	40058221.0	40054615.0				aorta_ENCFF115HTK	
peakEnd	chr4	40062502.0	40058622.0				aorta_ENCFF115HTK	
noPeak	chr4	40169654.0	40066412.0				aorta_ENCFF115HTK	
noPeak	chr4	40507127.0	40398886.0				aorta_ENCFF115HTK	
noPeak	chr4	40516129.0	40507281.0				aorta_ENCFF115HTK	
noPeak	chr4	40522347.0	40516130.0				aorta_ENCFF115HTK	
noPeak	chr9	117099237.0	117065194.0				aorta_ENCFF115HTK	
noPeak	chr9	117125973.0	117106009.0				aorta_ENCFF115HTK	
noPeak	chr9	117141885.0	117128093.0				aorta_ENCFF115HTK	
peakStart	chr9	117149044.0	117142292.0				aorta_ENCFF115HTK	
peakEnd	chr9	117151937.0	117150007.0				aorta_ENCFF115HTK	
noPeak	chr9	117157338.0	117152900.0				aorta_ENCFF115HTK	
peakStart	chr9	117160469.0	117158250.0				aorta_ENCFF115HTK	
peakEnd	chr9	117162880.0	117160758.0				aorta_ENCFF115HTK	
noPeak	chr9	117185061.0	117166930.0				aorta_ENCFF115HTK	
noPeak	chr9	117206203.0	117190097.0				aorta_ENCFF115HTK	
noPeak	chr9	117223465.0	117211506.0				aorta_ENCFF115HTK	
noPeak	chr9	117243235.0	117225875.0				aorta_ENCFF115HTK	
noPeak	chr9	117259725.0	117246706.0				aorta_ENCFF115HTK	
peakStart	chr9	117267537.0	117263196.0				aorta_ENCFF115HTK	
peakEnd	chr9	117272069.0	117268114.0				aorta_ENCFF115HTK	
noPeak	chr9	117302929.0	117277854.0				aorta_ENCFF115HTK	
noPeak	chr9	117334753.0	117312572.0				aorta_ENCFF115HTK	
peakStart	chr9	117350206.0	117346154.0				aorta_ENCFF115HTK	
peakEnd	chr9	117354063.0	117351169.0				aorta_ENCFF115HTK	
noPeak	chr9	117369300.0	117356955.0				aorta_ENCFF115HTK	
peakStart	chr9	117373782.0	117371274.0				aorta_ENCFF115HTK	
peakEnd	chr9	117376482.0	117374360.0				aorta_ENCFF115HTK	
noPeak	chr9	117403990.0	117385762.0				aorta_ENCFF115HTK	
noPeak	chr9	117429160.0	117408135.0				aorta_ENCFF115HTK	
noPeak	chr9	117452327.0	117432268.0				aorta_ENCFF115HTK	
noPeak	chr9	117489115.0	117457773.0				aorta_ENCFF115HTK	
noPeak	chr9	117519419.0	117492898.0				aorta_ENCFF115HTK	
noPeak	chr9	117565153.0	117523878.0				aorta_ENCFF115HTK	
noPeak	chr9	117608017.0	117573685.0				aorta_ENCFF115HTK	
noPeak	chr9	117652786.0	117616525.0				aorta_ENCFF115HTK	
noPeak	chr10	175099.0	128199.0				aorta_ENCFF115HTK	
peakStart	chr10	180799.0	176599.0				aorta_ENCFF115HTK	
peakEnd	chr10	188299.0	181899.0				aorta_ENCFF115HTK	
noPeak	chr10	285699.0	193599.0				aorta_ENCFF115HTK	
noPeak	chr10	988999.0	986299.0				aorta_ENCFF115HTK	
noPeak	chr10	1007899.0	993799.0				aorta_ENCFF115HTK	
noPeak	chr10	1028299.0	1020899.0				aorta_ENCFF115HTK	
peakStart	chr10	1034099.0	1030699.0				aorta_ENCFF115HTK	
peakEnd	chr10	1039999.0	1034699.0				aorta_ENCFF115HTK	
noPeak	chr10	1075499.0	1042099.0				aorta_ENCFF115HTK	
peakStart	chr10	1094439.0	1092299.0				aorta_ENCFF115HTK	
peakEnd	chr10	1098419.0	1095039.0				aorta_ENCFF115HTK	
peakStart	chr10	1102359.0	1099539.0				aorta_ENCFF115HTK	
peakEnd	chr10	1105499.0	1102679.0				aorta_ENCFF115HTK	
noPeak	chr10	1182899.0	1109399.0				aorta_ENCFF115HTK	
noPeak	chr10	1356799.0	1187599.0				aorta_ENCFF115HTK	
noPeak	chr10	3055999.0	1473999.0				aorta_ENCFF115HTK	
peakStart	chr10	3110299.0	3105499.0				aorta_ENCFF115HTK	
peakEnd	chr10	3113699.0	3110899.0				aorta_ENCFF115HTK	
noPeak	chr10	3208699.0	3156599.0				aorta_ENCFF115HTK	
peakStart	chr10	3214499.0	3211199.0				aorta_ENCFF115HTK	
peakEnd	chr10	3218399.0	3214999.0				aorta_ENCFF115HTK	
noPeak	chr10	3233599.0	3219899.0				aorta_ENCFF115HTK	
peakStart	chr10	3235379.0	3234119.0				aorta_ENCFF115HTK	
peakEnd	chr10	3236399.0	3235439.0				aorta_ENCFF115HTK	
noPeak	chr10	3263699.0	3244799.0				aorta_ENCFF115HTK	
noPeak	chr10	3288299.0	3274799.0				aorta_ENCFF115HTK	
noPeak	chr10	3328599.0	3294399.0				aorta_ENCFF115HTK	
noPeak	chr10	3416099.0	3334199.0				aorta_ENCFF115HTK	
noPeak	chr10	3462799.0	3418199.0				aorta_ENCFF115HTK	
noPeak	chr10	3559499.0	3520399.0				aorta_ENCFF115HTK	
noPeak	chr10	3652199.0	3603699.0				aorta_ENCFF115HTK	
noPeak	chr10	3807699.0	3700299.0				aorta_ENCFF115HTK	
peakStart	chr10	3825399.0	3812799.0				aorta_ENCFF115HTK	
peakEnd	chr10	3832199.0	3826799.0				aorta_ENCFF115HTK	
noPeak	chr10	4059999.0	3993999.0				aorta_ENCFF115HTK	
peakStart	chr10	4284599.0	4275399.0				aorta_ENCFF115HTK	
peakEnd	chr10	4291499.0	4285199.0				aorta_ENCFF115HTK	
noPeak	chr10	4347699.0	4296299.0				aorta_ENCFF115HTK	
noPeak	chr10	4584999.0	4443999.0				aorta_ENCFF115HTK	
noPeak	chr10	5342999.0	5159499.0				aorta_ENCFF115HTK	
peakStart	chr10	5708099.0	5703899.0				aorta_ENCFF115HTK	
peakEnd	chr10	5711999.0	5708399.0				aorta_ENCFF115HTK	
peakStart	chr10	5727199.0	5723699.0				aorta_ENCFF115HTK	
peakEnd	chr10	5731099.0	5727599.0				aorta_ENCFF115HTK	
peakStart	chr10	5734799.0	5732399.0				aorta_ENCFF115HTK	
peakEnd	chr10	5738099.0	5734999.0				aorta_ENCFF115HTK	
noPeak	chr10	5750999.0	5741399.0				aorta_ENCFF115HTK	
noPeak	chr10	5808199.0	5759699.0				aorta_ENCFF115HTK	
peakStart	chr10	5818399.0	5815999.0				aorta_ENCFF115HTK	
noPeak	chr10	5843999.0	5824999.0	th798@nau.edu	th798@nau.edu	1632258695.0922933	aorta_ENCFF115HTK	
peakStart	chr10	5854799.0	5849099.0				aorta_ENCFF115HTK	
noPeak	chr10	5919199.0	5876199.0	th798@nau.edu	th798@nau.edu	1632258689.4544423	aorta_ENCFF115HTK	
peakStart	chr10	5931599.0	5927999.0				aorta_ENCFF115HTK	
noPeak	chr10	5976399.0	5942799.0	th798@nau.edu	th798@nau.edu	1632258682.4072156	aorta_ENCFF115HTK	
noPeak	chr10	6009399.0	5993399.0	th798@nau.edu	th798@nau.edu	1632258707.8602548	aorta_ENCFF115HTK	
peakStart	chr10	6019299.0	6014799.0				aorta_ENCFF115HTK	
noPeak	chr10	6045199.0	6026799.0	th798@nau.edu	th798@nau.edu	1632258713.0133784	aorta_ENCFF115HTK	
noPeak	chr10	6086199.0	6061199.0	th798@nau.edu	th798@nau.edu	1632258718.5262148	aorta_ENCFF115HTK	
noPeak	chr10	6124999.0	6109799.0	th798@nau.edu	th798@nau.edu	1632258822.793625	aorta_ENCFF115HTK	
peakEnd	chr10	6135399.0	6131599.0	th798@nau.edu	th798@nau.edu	1632258753.9371824	aorta_ENCFF115HTK	
noPeak	chr10	6159799.0	6139599.0	th798@nau.edu	th798@nau.edu	1632258725.7497876	aorta_ENCFF115HTK	
noPeak	chr10	6235999.0	6214999.0	th798@nau.edu	th798@nau.edu	1632258804.6714303	aorta_ENCFF115HTK	
peakEnd	chr10	6252199.0	6246199.0	th798@nau.edu	th798@nau.edu	1632258796.6054702	aorta_ENCFF115HTK	
noPeak	chr10	6308999.0	6262199.0	th798@nau.edu	th798@nau.edu	1632258809.4908845	aorta_ENCFF115HTK	
noPeak	chr10	6566799.0	6529599.0	th798@nau.edu	th798@nau.edu	1632258832.9276347	aorta_ENCFF115HTK	
peakEnd	chr10	6628199.0	6622199.0	th798@nau.edu	th798@nau.edu	1632258852.5906007	aorta_ENCFF115HTK	
noPeak	chr10	6662599.0	6631999.0	th798@nau.edu	th798@nau.edu	1632258841.751811	aorta_ENCFF115HTK	
noPeak	chr10	6752399.0	6676799.0	th798@nau.edu	th798@nau.edu	1632258864.9455905	aorta_ENCFF115HTK	
noPeak	chr10	6763899.0	6761549.0		th798@nau.edu	1632258931.6103878	aorta_ENCFF115HTK	
noPeak	chr10	6765849.0	6764199.0		th798@nau.edu	1632258937.2635922	aorta_ENCFF115HTK	
noPeak	chr10	6822299.0	6818349.0		th798@nau.edu	1632258941.9912941	aorta_ENCFF115HTK	
noPeak	chr10	6826949.0	6822749.0		th798@nau.edu	1632258946.8555548	aorta_ENCFF115HTK	
noPeak	chr10	7046999.0	6843799.0	th798@nau.edu	th798@nau.edu	1632258993.2411113	aorta_ENCFF115HTK	
noPeak	chr10	7382399.0	7066399.0	th798@nau.edu	th798@nau.edu	1632259008.5729618	aorta_ENCFF115HTK	
peakStart	chr10	7452244.0	7442985.0	th798@nau.edu	th798@nau.edu	1632259225.1333122	aorta_ENCFF115HTK	
peakEnd	chr10	7460308.0	7453736.0	th798@nau.edu	th798@nau.edu	1632259232.5746293	aorta_ENCFF115HTK	
noPeak	chr10	7690298.0	7479441.0	th798@nau.edu	th798@nau.edu	1632259244.7831097	aorta_ENCFF115HTK	
peakStart	chr10	7708949.0	7705849.0	th798@nau.edu	th798@nau.edu	1632259259.2017572	aorta_ENCFF115HTK	
peakEnd	chr10	7711999.0	7709149.0	th798@nau.edu	th798@nau.edu	1632259266.3520172	aorta_ENCFF115HTK	
noPeak	chr10	7785499.0	7715849.0	th798@nau.edu	th798@nau.edu	1632259335.1567805	aorta_ENCFF115HTK	
noPeak	chr10	7825749.0	7787899.0	th798@nau.edu	th798@nau.edu	1632259352.1211762	aorta_ENCFF115HTK	
peakStart	chr10	7830049.0	7827349.0	th798@nau.edu	th798@nau.edu	1632259357.2975867	aorta_ENCFF115HTK	
peakEnd	chr10	7833849.0	7830849.0	th798@nau.edu	th798@nau.edu	1632259365.8539045	aorta_ENCFF115HTK	
noPeak	chr10	7856449.0	7842249.0	th798@nau.edu	th798@nau.edu	1632259375.1341405	aorta_ENCFF115HTK	
peakStart	chr10	7860649.0	7858299.0	th798@nau.edu	th798@nau.edu	1632259361.6050093	aorta_ENCFF115HTK	
peakEnd	chr10	7863199.0	7861099.0	th798@nau.edu	th798@nau.edu	1632259368.970531	aorta_ENCFF115HTK	
noPeak	chr10	7911549.0	7865799.0	th798@nau.edu	th798@nau.edu	1632259381.8028848	aorta_ENCFF115HTK	
noPeak	chr10	8016299.0	7922499.0	th798@nau.edu	th798@nau.edu	1632259419.26779	aorta_ENCFF115HTK	
noPeak	chr10	8367999.0	8117199.0	th798@nau.edu	th798@nau.edu	1632259435.9058602	aorta_ENCFF115HTK	
noPeak	chr10	8775599.0	8424799.0	th798@nau.edu	th798@nau.edu	1632259450.5429115	aorta_ENCFF115HTK	
noPeak	chr10	9163799.0	8793799.0	th798@nau.edu	th798@nau.edu	1632259462.9996078	aorta_ENCFF115HTK	
noPeak	chr10	10763999.0	9377999.0	th798@nau.edu	th798@nau.edu	1632259496.5999694	aorta_ENCFF115HTK	
peakEnd	chr10	11069599.0	11060999.0	th798@nau.edu	th798@nau.edu	1632259537.516126	aorta_ENCFF115HTK	
noPeak	chr10	11143799.0	11099599.0	th798@nau.edu	th798@nau.edu	1632259630.7898881	aorta_ENCFF115HTK	
noPeak	chr10	11200649.0	11150399.0	th798@nau.edu	th798@nau.edu	1632259597.32193	aorta_ENCFF115HTK	
peakStart	chr10	11207449.0	11203499.0	th798@nau.edu	th798@nau.edu	1632259564.152319	aorta_ENCFF115HTK	
peakEnd	chr10	11210849.0	11207899.0	th798@nau.edu	th798@nau.edu	1632259559.4959803	aorta_ENCFF115HTK	
noPeak	chr10	11247199.0	11213699.0	th798@nau.edu	th798@nau.edu	1632259603.880424	aorta_ENCFF115HTK	
noPeak	chr10	11362199.0	11320399.0	th798@nau.edu	th798@nau.edu	1632259626.3881876	aorta_ENCFF115HTK	
peakStart	chr10	11387389.0	11385639.0	th798@nau.edu	th798@nau.edu	1632259655.724083	aorta_ENCFF115HTK	
peakEnd	chr10	11389969.0	11387439.0	th798@nau.edu	th798@nau.edu	1632259661.3390448	aorta_ENCFF115HTK	
noPeak	chr10	11481199.0	11396999.0	th798@nau.edu	th798@nau.edu	1632259637.5977957	aorta_ENCFF115HTK	
noPeak	chr10	11640799.0	11489599.0	th798@nau.edu	th798@nau.edu	1632259695.4603806	aorta_ENCFF115HTK	
